Phase,Run,Method,Monomer,dE_0.0_m0.2,dE_0.0_m0.1,dE_0.0_0.1,dE_0.0_0.2,dE_0.0_0.3,dE_0.0_0.4,dE_0.0_0.5,dE_0.0_0.6
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,H3O,33.457612733429414,6.435822453320725,4.049143767442729,13.167384748398035,24.402230884399614,36.21129183433368,47.75448969579156,58.56607428278221
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,MImH,32.156730316986796,6.319852290616836,4.111233174888184,13.534174386091763,25.31497641513124,37.68900326729636,49.882587590807816,61.451966610271484
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,MeOH,37.41041560948361,7.167148561260547,4.471322830606368,14.47266732713615,26.675529333690065,39.3930889331823,51.785377121763304,63.34287726513867
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,Wat,37.66727763805102,7.244992479485518,4.566482800604717,14.874905199067143,27.632872623529693,41.10038400691701,54.36354116326402,66.90500534052262
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,H3O,31.81040000000212,5.686799999995856,4.749599999995553,14.50619999999617,26.301399999996647,38.64549999999872,50.74250000000029,62.05819999999949
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,MImH,30.623099999997066,5.42149999999674,4.897299999982351,15.16359999999986,27.802700000000186,41.0339999999851,54.218800000002375,66.82459999999264
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,MeOH,35.41129999999248,6.127699999997276,5.434899999992922,16.40009999999893,29.39299999999639,42.94689999999537,56.18889999999374,68.61779999999271
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,Wat,35.712899999998626,6.342099999994389,5.431799999998475,16.607199999998556,30.103399999999965,44.27349999999569,58.3125,71.53439999999682
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,H3O,31.210160901740892,5.324948119763576,5.147207176938537,15.319551671687805,27.5920987948557,40.41502165081329,52.94623117241281,64.68682452723442
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,MImH,30.961868776299525,5.480891134182457,4.989053152938141,15.373397901334101,28.185750635660952,41.729396021633875,55.09675184279331,67.57192413578741
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,MeOH,35.36712691251887,6.017188446567161,5.594065708297421,16.695686121747713,29.80499249130662,43.252673502254765,55.945668526750524,67.39230756029428
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,Wat,35.44063157261553,6.126713977151667,5.662805517655215,17.006490195024526,30.559094341755554,44.5699172367531,58.06517320667626,70.31662099333334
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",H3O,28.956300000000283,4.448499999999967,5.7741000000000895,16.401200000000244,29.0308,41.88770000000022,53.87440000000015,64.56190000000015
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",MImH,30.959200000001147,5.481499999999869,4.986700000001292,15.373600000000806,28.20510000000104,41.69720000000052,55.1153000000013,67.69680000000153
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",MeOH,37.009000000000015,6.994899999999689,4.742799999999988,15.064699999999903,27.6262999999999,40.68289999999979,53.00869999999986,64.20079999999962
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",Wat,34.76890000000003,6.06230000000005,5.680299999999988,17.006599999999708,30.7208999999998,44.96409999999969,58.64399999999978,71.1248999999998
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",H3O,20.633699999999862,4.783899999999903,5.8530000000000655,14.604800000000068,22.767699999999877,31.098399999999856,39.952000000000226,49.18190000000004
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",MImH,28.41480000000047,5.4812999999994645,4.988100000000486,15.485399999999572,27.971199999999953,40.335399999999936,52.02529999999933,62.70039999999972
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",MeOH,24.659699999999702,6.741999999999734,4.638300000000072,13.75689999999986,22.128400000000056,30.52059999999983,39.4067,48.853000000000065
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",Wat,22.601000000000113,5.822200000000066,5.585700000000088,15.695000000000164,25.199999999999818,34.79559999999992,45.026800000000094,55.779599999999846
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",H3O,26.554000000000087,4.5142000000000735,5.744599999999991,16.075900000000274,26.93029999999999,35.91450000000032,42.170700000000124,46.41810000000032
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",MImH,28.83129999999983,5.481200000000172,4.988300000000891,15.540899999999965,28.125,40.55160000000069,52.20650000000023,62.86230000000069
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",MeOH,33.38639999999987,6.880999999999858,4.657999999999902,14.829699999999775,25.967099999999846,35.54770000000008,42.453199999999924,47.20710000000008
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",Wat,31.20219999999972,5.952199999999721,5.598199999999906,16.771799999999985,29.048499999999876,39.81569999999965,48.0341999999996,54.09469999999965
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,H3O,31.619204666130827,5.561645494075492,4.88821154525067,14.872585015422374,27.055957972057513,39.83552298120776,52.407074525275675,64.2896450844637
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,MImH,29.812733359693084,5.10217687804834,5.420777043706039,16.27759423610405,29.67585533997044,43.97944077203283,58.18346672068583,71.85968591403798
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,MeOH,34.693096875504125,5.823502614774043,5.851672613207484,17.387976296027773,31.419757123934687,46.19750849623233,60.77659356997174,74.6597895068262
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,Wat,35.04421053654369,5.962684544305375,5.858440521886223,17.574198051348503,31.94680779115879,47.217221554099524,62.41341790032311,77.00914442303474
SP_init,run7,GFN2-xTB,H3O,29.72380000000021,5.222000000000207,3.6467999999999847,11.301000000000386,20.62570000000005,30.556600000000344,40.49900000000025,50.01520000000028
SP_init,run7,GFN2-xTB,MImH,30.999799999999595,5.352200000001176,4.1851000000006024,12.720800000000963,22.938500000000204,33.48559999999998,43.999799999999595,53.92690000000039
SP_init,run7,GFN2-xTB,MeOH,34.173899999999776,5.76090000000022,4.451699999999619,13.44380000000001,24.182999999999993,35.63640000000032,47.02130000000034,57.946899999999914
SP_init,run7,GFN2-xTB,Wat,33.845800000000054,5.63570000000027,4.784300000000258,14.303600000000188,25.7808,38.026600000000144,50.39070000000038,62.2493000000004
SP_init,run8,mDFTB3D3/3ob_prime,H3O,24.860599999999977,3.546599999999671,5.95259999999962,16.441299999999956,28.416600000000017,40.233600000000024,51.19849999999997,61.26059999999961
SP_init,run8,mDFTB3D3/3ob_prime,MImH,25.320299999999406,4.934999999999491,4.153599999999642,13.991099999999278,26.72320000000036,40.11000000000058,52.884799999999814,64.33220000000074
SP_init,run8,mDFTB3D3/3ob_prime,MeOH,31.835900000000038,5.539400000000114,5.176600000000235,15.641000000000076,27.817199999999957,40.01880000000028,51.38100000000031,61.927000000000135
SP_init,run8,mDFTB3D3/3ob_prime,Wat,29.970000000000255,4.771300000000338,5.963999999999942,17.31269999999995,30.547300000000178,43.87890000000016,56.558100000000195,68.39249999999993
