contact_class,N,ref_mean_std,run0|BSSE=no|diff_mean_std,run0|BSSE=no|RMSE,run8|BSSE=no|diff_mean_std,run8|BSSE=no|RMSE,run102|BSSE=no|diff_mean_std,run102|BSSE=no|RMSE,run110|BSSE=no|diff_mean_std,run110|BSSE=no|RMSE,run110.mmsolvent|BSSE=no|diff_mean_std,run110.mmsolvent|BSSE=no|RMSE,run0|BSSE=no|diff_mean,run0|BSSE=no|diff_std,run8|BSSE=no|diff_mean,run8|BSSE=no|diff_std,run102|BSSE=no|diff_mean,run102|BSSE=no|diff_std,run110|BSSE=no|diff_mean,run110|BSSE=no|diff_std,run110.mmsolvent|BSSE=no|diff_mean,run110.mmsolvent|BSSE=no|diff_std,ref_mean,ref_std
OH...N3,11,-5.86 ± 1.03,-2.87 ± 1.08,3.047628750753946,1.37 ± 0.80,1.5665863841657506,-0.05 ± 0.01,0.05045465099109937,-0.04 ± 0.36,0.34390090810580026,-1.70 ± 1.21,2.0547532097970223,-2.869555020434545,1.07659857227894,1.3704722522921988,0.7959890547147843,-0.04963348850618455,0.009508285222588777,-0.043918656797441974,0.3577329797477622,-1.698536838616416,1.2127166598746508,-5.862517706838182,1.0288090760248643
NH...O,8,-3.64 ± 0.69,-2.21 ± 1.57,2.652017217167872,0.59 ± 0.75,0.9130649832211831,-0.06 ± 0.01,0.060018322674647524,-0.69 ± 0.14,0.7042265833516994,-1.78 ± 1.28,2.147796699134077,-2.2090535777249434,1.5687219951815015,0.5887339222747414,0.7460984480024436,-0.05972464593287441,0.006339511010516,-0.6926660777244251,0.1358519592121983,-1.7816285777250869,1.2823328169927635,-3.643183922275057,0.6944706429967946
OH...pi(C1),4,-3.42 ± 0.24,-1.11 ± 1.26,1.5588136788007991,-0.16 ± 0.17,0.21822237492374633,-0.06 ± 0.00,0.062249370260455746,0.03 ± 0.09,0.0831216738859884,-1.78 ± 1.33,2.121821702454968,-1.1126536780592056,1.26063575385216,-0.16180367805964124,0.16907818579474637,-0.06211459961923538,0.004727312409871882,0.031646321941025235,0.08875226177184511,-1.7807036780593535,1.3322771223009064,-3.4202463219407946,0.24382316332192766
OH...pi(C2),3,-2.05 ± 1.33,-1.51 ± 2.20,2.346431231970532,-1.01 ± 0.97,1.2822697349793535,-0.06 ± 0.00,0.06179789278112643,0.11 ± 0.18,0.1863082374122771,-2.28 ± 2.45,3.030841883551969,-1.5052438048729517,2.2045341733317545,-1.007010471540222,0.9722234183450541,-0.061682948018036164,0.004614131986383723,0.11212286179458412,0.1822329135639141,-2.2751771382063453,2.4524186570229096,-2.0536895284603816,1.327670293434542
CH...O(C1),1,-1.33,-0.81,0.8082523302942048,0.13,0.12634766970586497,-0.02,0.01781802356708795,-0.27,0.2686523302927526,-1.12,1.115552330294122,-0.8082523302942048,,0.12634766970586497,,-0.01781802356708795,,-0.2686523302927526,,-1.115552330294122,,-1.3331476697057951,
OH...pi(C3),5,-1.13 ± 1.60,-1.11 ± 0.73,1.2869260997629146,-1.05 ± 0.77,1.2522978899660167,-0.04 ± 0.02,0.04253127756674429,-0.42 ± 0.29,0.4952227787406432,-1.68 ± 0.56,1.7470685777586588,-1.1108399682189896,0.7264755254465058,-1.0457599682194996,0.770256527141193,-0.04016015190863982,0.015655341346263417,-0.42239996821808745,0.2890152838366918,-1.6750199682190214,0.5551539442569188,-1.1321000317810104,1.5960166167991112
CH...O(C3),22,-0.96 ± 0.90,-2.01 ± 0.98,2.2236828849484853,-0.63 ± 0.52,0.8082555481671314,-0.03 ± 0.01,0.03235562179275108,-0.48 ± 0.26,0.5474848543240688,-2.47 ± 1.00,2.6592897202938985,-2.0089419338034045,0.9758071957107702,-0.6250464792586751,0.5244982390457644,-0.030939628868840042,0.009689866565467206,-0.4846601156209958,0.26063779253891933,-2.472651024712625,1.001713103634753,-0.9627671571056866,0.896425528891036
OH...pi(N9),5,-0.46 ± 1.64,-2.20 ± 1.28,2.481511455047639,-1.09 ± 0.49,1.1724779174483553,-0.02 ± 0.00,0.024305234812253634,-0.40 ± 0.41,0.5450326354050673,-3.10 ± 0.95,3.214128014580408,-2.2024911173179285,1.2781490423989468,-1.0867111173185549,0.49214252813627385,-0.024239960691193118,0.001990208835838095,-0.40069111731754675,0.41307868826563937,-3.1007711173180725,0.945936950935836,-0.463508882682072,1.642343187705476
noHbond-close(HH-H7),2,-0.43 ± 0.26,-2.41 ± 1.98,2.7893854035119623,-0.15 ± 0.76,0.5619795818841365,-0.02 ± 0.01,0.01865376911253154,-0.39 ± 0.23,0.4258502227110588,-2.84 ± 1.98,3.1657318998399604,-2.411558809759049,1.9824505221564104,-0.15245880975908221,0.7649540663092299,-0.017280321379075758,0.009935149232849303,-0.3947088097584128,0.22606798836701975,-2.8397088097590313,1.978844277572781,-0.43074119024095125,0.259514139117269
noHbond-close(H-N3),2,-0.38 ± 0.46,-2.29 ± 3.00,3.1230675724357333,-0.41 ± 0.43,0.5090414719433907,-0.02 ± 0.00,0.018194875752717325,-0.39 ± 0.22,0.4185372296100644,-2.81 ± 3.08,3.553419023623373,-2.294595868729148,2.9961244504228293,-0.4056458687291524,0.4349129782870706,-0.018194504489656538,0.0001643778129124236,-0.3888458687288221,0.2189625673132073,-2.809445868729199,3.076946755512328,-0.37830413127085194,0.4574696846068865
far,2,0.28 ± 0.40,-1.46 ± 1.70,1.8927280599857719,-0.96 ± 0.10,0.959014201069765,-0.01 ± 0.01,0.010651182704326174,-0.48 ± 0.02,0.4800874776889026,-2.06 ± 1.81,2.4225645057104384,-1.460678100078297,1.7022567356360558,-0.9563281000791903,0.10143769370806556,-0.009440780253498815,0.0069741467157042065,-0.47987810007816734,0.020049703192862152,-2.055878100078189,1.8122825507888967,0.27872810007829685,0.3982811204499436
Overall,65,-2.23 ± 2.19,-2.03 ± 1.29,2.403243383362253,-0.17 ± 1.04,1.0442582206005782,-0.04 ± 0.02,0.04309364324787881,-0.36 ± 0.35,0.4953970461740767,-2.18 ± 1.26,2.5105521397212827,-2.0324488589572596,1.2924508918430402,-0.1722934743424188,1.0379619630359833,-0.03950145257672725,0.01735895240293952,-0.3559227051105084,0.34726435327187155,-2.179818089726583,1.2551906866301166,-2.2311988333504327,2.188461526398118
