contact_class,N,diff_mean,diff_std,RMSE
OH...pi(C2),3,1.6388268463197029,0.4337070611035995,1.676649826922405
OH...pi(C1),4,1.0836721089416839,0.29422183862349965,1.1132250928901852
NH...O,8,-0.6952855574195318,0.409170425081312,0.7936717763170479
OH...pi(C3),5,0.28300682187271037,0.782009510613486,0.754535592916893
noHbond-close(HH-H7),2,-0.6541131272604441,0.40375417436298866,0.7137035098079646
CH...O(C3),22,-0.15873692253633692,0.5457413716444222,0.5563210964529631
OH...pi(N9),5,0.16177910970741644,0.531362023557525,0.5020447792787437
OH...N3,11,-0.0032462831273691265,0.3990176065134598,0.38046220992281526
noHbond-close(H-N3),2,-0.3075871927201709,0.15903370874444409,0.3274992234860747
far,2,-0.20905572317348137,0.1411463376124606,0.23165802317703701
CH...O(C1),1,-0.23069830908307676,,0.23069830908307676
Overall,65,-0.0028818097280233672,0.7107556907758034,0.7052730353979904
