reaction_type,from_formula,to_formula,balanced_reaction,run8|BSSE=no,run41|BSSE=no,run102|BSSE=no,run102|BSSE=yes
Add MeOH,1Zn_0NO3_4MeOH,1Zn_0NO3_5MeOH,1Zn_0NO3_4MeOH + MeOH -> 1Zn_0NO3_5MeOH,-26.732200000000375,-30.631400000012945,-26.35116573322739,-26.11523016546562
Add MeOH,1Zn_0NO3_5MeOH,1Zn_0NO3_6MeOH,1Zn_0NO3_5MeOH + MeOH -> 1Zn_0NO3_6MeOH,-25.454500000001644,-27.791200000036042,-25.14958806229697,-24.730296316367458
Add MeOH,1Zn_1NO3_2MeOH,1Zn_1NO3_3MeOH,1Zn_1NO3_2MeOH + MeOH -> 1Zn_1NO3_3MeOH,-26.02849999999853,-31.336000000068452,-26.998103937934502,-26.945856444872334
Add MeOH,1Zn_1NO3_3MeOH,1Zn_1NO3_4MeOH,1Zn_1NO3_3MeOH + MeOH -> 1Zn_1NO3_4MeOH,-20.16480000000047,-23.507900000025984,-19.469051796171698,-19.750910943883355
Add MeOH,1Zn_1NO3_4MeOH,1Zn_1NO3_5MeOH,1Zn_1NO3_4MeOH + MeOH -> 1Zn_1NO3_5MeOH,-13.70680000000175,-18.07890000002226,-14.929195319578866,-14.34926586788788
Add MeOH,1Zn_2NO3_1MeOH,1Zn_2NO3_2MeOH,1Zn_2NO3_1MeOH + MeOH -> 1Zn_2NO3_2MeOH,-14.867400000000998,-19.733599999861326,-15.445383923870395,-14.55612589714292
Add MeOH,1Zn_2NO3_2MeOH,1Zn_2NO3_3MeOH,1Zn_2NO3_2MeOH + MeOH -> 1Zn_2NO3_3MeOH,-13.705199999998513,-18.193600000056904,-15.03046062476642,-15.195432827153127
Add MeOH,1Zn_2NO3_3MeOH,1Zn_2NO3_4MeOH,1Zn_2NO3_3MeOH + MeOH -> 1Zn_2NO3_4MeOH,-11.140299999997296,-16.13949999999022,-12.646284051981638,-12.853749489222537
Add MeOH,1Zn_3NO3_0MeOH,1Zn_3NO3_1MeOH,1Zn_3NO3_0MeOH + MeOH -> 1Zn_3NO3_1MeOH,-6.196799999999712,-13.471499999926891,-10.867646284677903,-10.127517345870729
Add MeOH,1Zn_3NO3_1MeOH,1Zn_3NO3_2MeOH,1Zn_3NO3_1MeOH + MeOH -> 1Zn_3NO3_2MeOH,-6.926800000002913,-13.811799999966752,-10.712703900571796,-12.466277845131117
Add MeOH,1Zn_3NO3_2MeOH,1Zn_3NO3_3MeOH,1Zn_3NO3_2MeOH + MeOH -> 1Zn_3NO3_3MeOH,-7.819399999994857,-13.19340000016382,-10.359367484270479,-9.18513328563131
Add NO3(-),1Zn_0NO3_4MeOH,1Zn_1NO3_4MeOH,1Zn_0NO3_4MeOH + NO3- -> 1Zn_1NO3_4MeOH,-210.40790000000106,-210.56110000002082,-210.17209542673663,-209.94264208196546
Add NO3(-),1Zn_0NO3_5MeOH,1Zn_1NO3_5MeOH,1Zn_0NO3_5MeOH + NO3- -> 1Zn_1NO3_5MeOH,-197.38250000000244,-198.00860000003013,-198.7501250130881,-198.17667778438772
Add NO3(-),1Zn_1NO3_2MeOH,1Zn_2NO3_2MeOH,1Zn_1NO3_2MeOH + NO3- -> 1Zn_2NO3_2MeOH,-138.60060000000067,-143.5230000000156,-140.59209366099094,-139.8908007432765
Add NO3(-),1Zn_1NO3_3MeOH,1Zn_2NO3_3MeOH,1Zn_1NO3_3MeOH + NO3- -> 1Zn_2NO3_3MeOH,-126.27730000000065,-130.38060000000405,-128.62445034782286,-128.14037712555728
Add NO3(-),1Zn_1NO3_4MeOH,1Zn_2NO3_4MeOH,1Zn_1NO3_4MeOH + NO3- -> 1Zn_2NO3_4MeOH,-117.25279999999748,-123.01219999996829,-121.8016826036328,-121.24321567089646
Add NO3(-),1Zn_2NO3_1MeOH,1Zn_3NO3_1MeOH,1Zn_2NO3_1MeOH + NO3- -> 1Zn_3NO3_1MeOH,-44.81079999999838,-55.522399999870686,-52.032363566890126,-50.543867765547475
Add NO3(-),1Zn_2NO3_2MeOH,1Zn_3NO3_2MeOH,1Zn_2NO3_2MeOH + NO3- -> 1Zn_3NO3_2MeOH,-36.870200000000295,-49.60059999997611,-47.29968354359153,-48.45401971353567
Add NO3(-),1Zn_2NO3_3MeOH,1Zn_3NO3_3MeOH,1Zn_2NO3_3MeOH + NO3- -> 1Zn_3NO3_3MeOH,-30.98439999999664,-44.60040000008303,-42.628590403095586,-42.443720172013855
Add NO3(-),1Zn_3NO3_0MeOH,1Zn_4NO3_0MeOH,1Zn_3NO3_0MeOH + NO3- -> 1Zn_4NO3_0MeOH,39.93830000000253,32.74949999994715,34.97602964672842,33.98149966847268
Add NO3(-),1Zn_3NO3_2MeOH,1Zn_4NO3_2MeOH,1Zn_3NO3_2MeOH + NO3- -> 1Zn_4NO3_2MeOH,36.70429999999851,34.38879999986966,35.644542735331925,36.69606647678302
Add NO3(-),1Zn_4NO3_0MeOH,1Zn_5NO3_0MeOH,1Zn_4NO3_0MeOH + NO3- -> 1Zn_5NO3_0MeOH,113.89729999999781,105.79909999997471,107.35106051506591,107.88735159827047
"Exchange (-MeOH, +NO3(-))",1Zn_0NO3_4MeOH,1Zn_1NO3_3MeOH,1Zn_0NO3_4MeOH + NO3- -> 1Zn_1NO3_3MeOH + MeOH,-190.2431000000006,-187.05319999999483,-190.70304363056493,-190.1917311380821
"Exchange (-MeOH, +NO3(-))",1Zn_0NO3_5MeOH,1Zn_1NO3_4MeOH,1Zn_0NO3_5MeOH + NO3- -> 1Zn_1NO3_4MeOH + MeOH,-183.6757000000007,-179.92970000000787,-183.82092969350924,-183.82741191649984
"Exchange (-MeOH, +NO3(-))",1Zn_0NO3_6MeOH,1Zn_1NO3_5MeOH,1Zn_0NO3_6MeOH + NO3- -> 1Zn_1NO3_5MeOH + MeOH,-171.9280000000008,-170.2173999999941,-173.60053695079114,-173.44638146802026
"Exchange (-MeOH, +NO3(-))",1Zn_1NO3_2MeOH,1Zn_2NO3_1MeOH,1Zn_1NO3_2MeOH + NO3- -> 1Zn_2NO3_1MeOH + MeOH,-123.73319999999967,-123.78940000015427,-125.14670973712055,-125.33467484613357
"Exchange (-MeOH, +NO3(-))",1Zn_1NO3_3MeOH,1Zn_2NO3_2MeOH,1Zn_1NO3_3MeOH + NO3- -> 1Zn_2NO3_2MeOH + MeOH,-112.57210000000214,-112.18699999994715,-113.59398972305644,-112.94494429840415
"Exchange (-MeOH, +NO3(-))",1Zn_1NO3_4MeOH,1Zn_2NO3_3MeOH,1Zn_1NO3_4MeOH + NO3- -> 1Zn_2NO3_3MeOH + MeOH,-106.11250000000018,-106.87269999997807,-109.15539855165116,-108.38946618167392
"Exchange (-MeOH, +NO3(-))",1Zn_1NO3_5MeOH,1Zn_2NO3_4MeOH,1Zn_1NO3_5MeOH + NO3- -> 1Zn_2NO3_4MeOH + MeOH,-103.54599999999573,-104.93329999994603,-106.87248728405393,-106.89394980300858
"Exchange (-MeOH, +NO3(-))",1Zn_2NO3_1MeOH,1Zn_3NO3_0MeOH,1Zn_2NO3_1MeOH + NO3- -> 1Zn_3NO3_0MeOH + MeOH,-38.61399999999867,-42.050899999943795,-41.16471728221222,-40.416350419676746
"Exchange (-MeOH, +NO3(-))",1Zn_2NO3_2MeOH,1Zn_3NO3_1MeOH,1Zn_2NO3_2MeOH + NO3- -> 1Zn_3NO3_1MeOH + MeOH,-29.943399999997382,-35.78880000000936,-36.58697964301973,-35.987741868404555
"Exchange (-MeOH, +NO3(-))",1Zn_2NO3_3MeOH,1Zn_3NO3_2MeOH,1Zn_2NO3_3MeOH + NO3- -> 1Zn_3NO3_2MeOH + MeOH,-23.165000000001783,-31.406999999919208,-32.26922291882511,-33.258586886382545
"Exchange (-MeOH, +NO3(-))",1Zn_2NO3_4MeOH,1Zn_3NO3_3MeOH,1Zn_2NO3_4MeOH + NO3- -> 1Zn_3NO3_3MeOH + MeOH,-19.844099999999344,-28.460900000092806,-29.982306351113948,-29.589970682791318
"Exchange (-MeOH, +NO3(-))",1Zn_3NO3_1MeOH,1Zn_4NO3_0MeOH,1Zn_3NO3_1MeOH + NO3- -> 1Zn_4NO3_0MeOH + MeOH,46.13510000000224,46.22099999987404,45.843675931406324,44.10901701434341
"Exchange (-MeOH, +NO3(-))",1Zn_3NO3_3MeOH,1Zn_4NO3_2MeOH,1Zn_3NO3_3MeOH + NO3- -> 1Zn_4NO3_2MeOH + MeOH,44.52369999999337,47.58220000003348,46.0039102196024,45.881199762414326
